"Story","Title","Result","Date","Stability","Duration (s)"
"Demoguru","registro creacion de un nuevo cliente","PENDING","2021-10-28T19:50:49.334-05:00[America/Mexico_City]","0.0","8.49"
"Demoguru","registro la creacion de una nueva cuenta","PENDING","2021-10-28T19:50:58.563-05:00[America/Mexico_City]","0.0","5.01"
