"Story","Title","Result","Date","Stability","Duration (s)"
"Demoguru","registro creacion de un nuevo cliente","ERROR","2021-10-29T17:12:07.62-05:00[America/Mexico_City]","0.0","13.28"
"Demoguru","registro la creacion de una nueva cuenta","ERROR","2021-10-29T17:12:21.991-05:00[America/Mexico_City]","0.0","6.87"
